epoch,lr_backbone,lr_head,seconds,train_loss,train_acc,train_macro_f1,val_loss,val_acc,val_macro_f1
1,3e-05,0.0003,83.2,1.2290741140961037,0.8631702923652487,0.8273106688550812,1.2698587702842339,0.912467700258398,0.8878000501036705
2,3e-05,0.0003,68.8,1.0143115982976962,0.949078564500485,0.9343320227660624,1.1482654449551604,0.9538113695090439,0.9362149549781978
3,3e-05,0.0003,68.7,0.9587616699462421,0.9666066232506582,0.9582678045523191,1.1308861450323455,0.9580103359173127,0.9354799515025771
4,3e-05,0.0003,69.5,0.9367783510967422,0.9718026880975474,0.9643390298062976,1.1096465786298115,0.9599483204134367,0.9478375614342863
5,3e-05,0.0003,67.8,0.9174019124214877,0.9755438547873078,0.9710910115582266,1.060407338062306,0.9844961240310077,0.9839386125008462
6,3e-05,0.0003,68.7,0.9082133124801977,0.9802549535818207,0.9775634191715821,1.073310018047806,0.9822351421188631,0.9808601929986354
7,3e-05,0.0003,68.6,0.8991325678249896,0.982887626437578,0.9811748757879342,1.0703375576694498,0.9806201550387597,0.9824988905462699
8,3e-05,0.0003,67.9,0.8887976029085389,0.985104614105584,0.9848791576472438,1.0513997250441125,0.9835271317829457,0.9821482383293606
9,1.5e-05,0.00015,68.9,0.8818089671621895,0.9869751974504641,0.9842221895472867,1.0563874561965312,0.9809431524547804,0.9789590721527924
10,1.5e-05,0.00015,67.9,0.8694051557818129,0.9896078703062214,0.9873701058760432,1.0264900895052178,0.9896640826873385,0.9888540304885851
11,1.5e-05,0.00015,68.5,0.8677726155984463,0.9915477345157268,0.990784851585817,1.0426674885651246,0.9796511627906976,0.9782122084912931
12,1.5e-05,0.00015,69.7,0.8622841816852342,0.991270611057226,0.9894688251528311,1.0345176655500743,0.9838501291989664,0.9818077408897108
13,1.5e-05,0.00015,67.7,0.8640594880501947,0.991617015380352,0.9890286456262578,1.0160555360545176,0.9916020671834626,0.9905572057493472
14,1.5e-05,0.00015,68.6,0.859617537072578,0.9915477345157268,0.991307490869112,1.0245517510776372,0.9880490956072352,0.9867378204742769
15,1.5e-05,0.00015,68.4,0.8584964800627588,0.992725509214355,0.9920322859615791,1.0262201431493734,0.9854651162790697,0.9857158335511609
16,1.5e-05,0.00015,68.3,0.8564707772031754,0.9923098240266038,0.992433195456885,1.016677802539303,0.9906330749354005,0.9899169218756781
17,7.5e-06,7.5e-05,69.4,0.8550396879673731,0.992379104891229,0.9914401029288773,1.0154056251819128,0.9909560723514211,0.9881963769447359
18,7.5e-06,7.5e-05,68.4,0.8514517939981041,0.9943189691007344,0.9931496436312309,1.01455597236791,0.9912790697674418,0.9908655368342457
19,7.5e-06,7.5e-05,68.6,0.8498651453113067,0.9951503394762367,0.9947322367594382,1.0191643931144891,0.9874031007751938,0.9867989869147666
20,7.5e-06,7.5e-05,68.2,0.8487707641261163,0.9942496882361092,0.9943396849622098,1.0089584713758424,0.9925710594315246,0.9904451970257052
21,7.5e-06,7.5e-05,67.6,0.847176802493668,0.9948039351531107,0.9944447447379229,1.0067216644607464,0.9925710594315246,0.9916965109494192
22,7.5e-06,7.5e-05,69.3,0.8472176687661608,0.9948732160177359,0.9948785775185444,1.0066469901599933,0.9932170542635659,0.9917883164710499
23,7.5e-06,7.5e-05,68.0,0.8458934205216319,0.9949424968823611,0.9938745078042606,1.0048595386574126,0.9938630490956072,0.9929904631999147
24,7.5e-06,7.5e-05,68.1,0.8466715626526989,0.9946653734238603,0.9945666721034845,1.0037250246188438,0.9932170542635659,0.991651459295294
25,7.5e-06,7.5e-05,68.7,0.843750129417318,0.9945960925592351,0.9944396809897198,1.0113449608016691,0.9916020671834626,0.9850680300646203
