epoch,lr,seconds,train_loss,train_acc,train_macro_precision,train_macro_recall,train_macro_f1,val_loss,val_acc,val_macro_precision,val_macro_recall,val_macro_f1
1,0.0001,61.3,0.7668119460391803,0.7487875848690592,0.7013741731643677,0.7488876581192017,0.7138398885726929,0.4013226929527421,0.8620801033591732,0.8564715385437012,0.8756681084632874,0.8546413779258728
2,0.0001,60.1,0.2647346386501948,0.9091727864763752,0.8827395439147949,0.9110245704650879,0.894953727722168,0.4262378999102471,0.8582041343669251,0.8751605749130249,0.8751551508903503,0.8576967716217041
3,0.0001,61.1,0.1983722230767682,0.9328668421781904,0.9138516783714294,0.9352397322654724,0.9234814643859863,0.19109556516897155,0.9363695090439277,0.9465782046318054,0.9333474636077881,0.9360828399658203
4,0.0001,61.1,0.16263147217496554,0.9449909934875987,0.9270622730255127,0.9468839764595032,0.9360186457633972,0.20842881606788272,0.9305555555555556,0.9329032897949219,0.9276688098907471,0.9248315691947937
5,0.0001,60.5,0.13534090322017406,0.9533739781072468,0.9432963132858276,0.9554767608642578,0.9490947723388672,0.32954933550066673,0.8917958656330749,0.9024627208709717,0.8996851444244385,0.8964998126029968
6,0.0001,61.5,0.12311950961335125,0.95635305528613,0.9423635601997375,0.9590882062911987,0.950113832950592,0.1422698494724587,0.9521963824289406,0.9540225267410278,0.9493573904037476,0.9508324861526489
7,0.0001,61.4,0.11150253604794533,0.9591935707357628,0.9451766014099121,0.9613189101219177,0.9526450634002686,0.12370763917394026,0.960594315245478,0.9625281691551208,0.9579470157623291,0.9595096111297607
8,0.0001,61.5,0.09800960677944963,0.9648746016350284,0.9588826894760132,0.9683235883712769,0.9634425640106201,0.13888526428152462,0.9521963824289406,0.9519901275634766,0.9584331512451172,0.954245924949646
9,0.0001,61.3,0.0847163438671811,0.9684772065955383,0.9603172540664673,0.9708548188209534,0.965349018573761,0.11022069803101357,0.9609173126614987,0.954700231552124,0.9638688564300537,0.9580574035644531
10,0.0001,61.2,0.0808544170057025,0.9722876541499238,0.9661386609077454,0.9737605452537537,0.9698231816291809,0.11993516306641021,0.9557493540051679,0.9595261216163635,0.95758056640625,0.9569326639175415
11,0.0001,60.9,0.08151834939040106,0.9704863516696688,0.9611396789550781,0.971682071685791,0.9661670327186584,0.06948763887751007,0.9751291989664083,0.972502589225769,0.976046621799469,0.9740352034568787
12,0.0001,61.2,0.0678611001558189,0.9762366634335596,0.9687561988830566,0.9776818752288818,0.9730448722839355,0.09615794991307287,0.9660852713178295,0.9593265056610107,0.9656434059143066,0.9618790745735168
13,0.0001,60.3,0.0858579999187849,0.9702092282111681,0.9583064913749695,0.9707776308059692,0.9640917778015137,0.1301627994105903,0.9560723514211886,0.9537883996963501,0.9560108184814453,0.9538410902023315
14,0.0001,61.1,0.07455360638457124,0.9739503949009284,0.9587540626525879,0.9739303588867188,0.9655483365058899,0.10765406359634597,0.9631782945736435,0.9592764973640442,0.9660388231277466,0.961662769317627
15,0.0001,60.6,0.054593944744135606,0.9802549535818207,0.976482093334198,0.9822642803192139,0.979306697845459,0.2814167837837455,0.9147286821705426,0.9258989095687866,0.9148816466331482,0.9146686792373657
16,5e-05,61.4,0.03477062427425762,0.9873216017735902,0.985472559928894,0.9882042407989502,0.9868240356445312,0.10235507706592295,0.9660852713178295,0.9597084522247314,0.9712488651275635,0.9642589092254639
17,5e-05,61.0,0.026020784446742887,0.9896771511708466,0.9871916770935059,0.991083562374115,0.9891046285629272,0.10737200896668822,0.9654392764857881,0.9671381711959839,0.9678675532341003,0.9667097330093384
18,5e-05,61.3,0.028793050507704244,0.989469308576971,0.9863944053649902,0.990044116973877,0.9881796836853027,0.04857397917792708,0.9802971576227391,0.9816102981567383,0.9821574687957764,0.9816272854804993
19,5e-05,60.5,0.026103532258741437,0.9903699598170985,0.9893838167190552,0.9915728569030762,0.9904689192771912,0.0787683582602086,0.9748062015503876,0.9749370813369751,0.9769754409790039,0.9751110672950745
20,5e-05,60.7,0.02163043700447146,0.991617015380352,0.9903101921081543,0.9925847053527832,0.9914345741271973,0.17602836115265386,0.9515503875968992,0.9448909163475037,0.9489598274230957,0.9444078803062439
