model,loss,accuracy,macro_precision,macro_recall,macro_f1
ensemble,0.626576,0.9941002949852508,0.9918993976362961,0.9940249393865067,0.9928834578793425
googlenet,0.619396,0.9922566371681416,0.9896540033407673,0.9921479815898945,0.9907958562132606
resnet18,0.646611,0.9883235004916421,0.9838468959399663,0.9885018968213424,0.9860030275219406
densenet121,0.663075,0.9797197640117994,0.9720892277916614,0.9776080181471108,0.9738409628224448
