densenet121,resnet18,googlenet,val_macro_f1
0.4,0.3,0.3,0.9932224246580548
0.4,0.2,0.4,0.9930246156587136
0.4,0.4,0.2,0.9922330523248523
0.5,0.2,0.3,0.9916064147439616
0.5,0.3,0.2,0.9911650676815326
0.5,0.4,0.1,0.9910179880703417
0.6,0.2,0.2,0.9896183142052576
0.6,0.3,0.1,0.9889822455372428
