epoch,lr,seconds,train_loss,train_acc,train_macro_precision,train_macro_recall,train_macro_f1,val_loss,val_acc,val_macro_precision,val_macro_recall,val_macro_f1
1,0.0001,442.3,2.1668557983817878,0.5462392757513553,0.4665840339376693,0.5132101064252672,0.46488192558769426,1.9478693557224391,0.6803680981595092,0.6606272227323896,0.6333582238331378,0.5921253485207449
2,0.0001,438.5,1.329792096035199,0.7824096005052897,0.7073770952559372,0.7781006549081995,0.7284309175754243,1.7391642327103878,0.7548466257668711,0.7458536881519356,0.759634871392964,0.7109936708140587
3,0.0001,443.9,1.0841837308113058,0.8600189483657035,0.7975232380446391,0.8606978007441173,0.8200004859069432,1.4304425385832056,0.8666257668711657,0.8328325563510757,0.8674847388032635,0.828084030370354
4,0.0001,452.7,0.9722799426524588,0.8964945523448603,0.8429562859199415,0.8969988950257758,0.863534212567879,1.4887284704805153,0.8357055214723926,0.8154713344603476,0.8554651974002679,0.8068077075649364
5,0.0001,460.2,0.9067725459427148,0.9166271909047845,0.869546805962632,0.9190756869396085,0.8884817667158003,1.2421487188631772,0.918282208588957,0.8904280746361608,0.9183112139479194,0.8969943527479718
6,0.0001,469.5,0.860874461490196,0.9314700773724933,0.8904177355955795,0.9340628351188297,0.9076447103573934,1.2396409083290334,0.9176687116564417,0.9000471453533221,0.9152350712502342,0.9000265838256922
7,0.0001,525.6,0.8216361665896375,0.9417864098110427,0.9050831612710076,0.9443140426508245,0.9209071375990106,1.194167378723987,0.934601226993865,0.9163581104335369,0.9312796317305795,0.9184753834276732
8,0.0001,479.9,0.7999585149124915,0.947839359966314,0.9154074986381192,0.9494995472917359,0.9291189046561474,1.206224792749604,0.9301840490797546,0.9208096016630073,0.9110360025655049,0.9067116356153082
9,0.0001,510.5,0.7736218742549003,0.9563134901836938,0.926028728165231,0.9574318535193046,0.9390474911446125,1.228460173402096,0.921963190184049,0.9068355155479144,0.9136320440425687,0.9013770210779309
10,0.0001,530.7,0.768712396332826,0.9576819832622769,0.9275670983609245,0.9592977427645889,0.9403012695618795,1.1640044668993335,0.9373006134969325,0.9141715434754711,0.9425172595525251,0.9154401311171971
11,5e-05,488.5,0.740275921053093,0.9647876204010737,0.9397750877245216,0.9666378861693585,0.9504368539162147,1.2160582906921948,0.9144785276073619,0.8975058620623586,0.9190722263075,0.8932491646379274
12,5e-05,541.8,0.6964525976045,0.9782883309647876,0.9606629903142597,0.9798499589002644,0.9690584146976725,1.0697284740026742,0.9663803680981595,0.9609806143555037,0.9639068390841414,0.9610330937522226
13,5e-05,475.0,0.6871791021925153,0.9805516079793674,0.9662044137032882,0.9811432059629496,0.9730349963620512,1.0421810126158357,0.978159509202454,0.9705297366914035,0.9729311856088091,0.9708933207877904
14,5e-05,494.4,0.6811036244964178,0.9808410968998368,0.9657795516541953,0.9810551083884292,0.9727711661983955,1.055413712870124,0.9721472392638036,0.9680779217192607,0.9700503070288575,0.9676846743634302
15,5e-05,514.6,0.6741309302738764,0.9825780304226538,0.970590754652571,0.9836963778052005,0.9765759579758524,1.0406745635366148,0.9771779141104294,0.9636461597381122,0.9769910123282675,0.9695267745038596
16,5e-05,474.6,0.6727418821167586,0.9825780304226538,0.9702450223353016,0.9833375536982171,0.976256662885207,1.0630169515083172,0.9677300613496933,0.9615455406325145,0.9659604737451881,0.9615350912204403
17,5e-05,571.8,0.6670051239196787,0.9833938628348861,0.9701970361976947,0.984698333716826,0.9765190438905117,1.0192478445848805,0.9815950920245399,0.9717173946356457,0.9802717032781194,0.9750648820385216
18,5e-05,468.3,0.6619242627317388,0.9868414127059318,0.9761331059701163,0.9873502605911656,0.9813750590238782,1.0641875248891444,0.9674846625766871,0.9503345392290724,0.9693631037205299,0.956764221540682
19,5e-05,476.0,0.6616390466727711,0.9846044528659403,0.971691795430865,0.9859084717686211,0.9781480503215668,1.0180692304131445,0.9808588957055214,0.9761059680260997,0.9811269452467131,0.9778481908301805
20,5e-05,525.7,0.6604940458419254,0.9862361176904048,0.9758063981760623,0.9867338825790565,0.9809174746056124,1.0157534741477732,0.9793865030674846,0.9706818741572157,0.9783097662283372,0.9736936095236554
