epoch,lr,seconds,train_loss,train_acc,train_macro_precision,train_macro_recall,train_macro_f1,val_loss,val_acc,val_macro_precision,val_macro_recall,val_macro_f1
1,0.0001,406.2,0.7028595888087896,0.8116430244492986,0.7477774620056152,0.7912760972976685,0.762649655342102,0.19894863857117587,0.9439194993250706,0.9312245845794678,0.9096314907073975,0.9100320339202881
2,0.0001,438.9,0.23119972443339132,0.933099981577493,0.8988571166992188,0.9312804937362671,0.910730242729187,0.21212460597607444,0.9306663394281507,0.9103127717971802,0.9191867113113403,0.9017554521560669
3,0.0001,492.6,0.16166962983090774,0.9499697344527199,0.9215729832649231,0.9492819309234619,0.9324501156806946,0.1516548334560321,0.9512823659344705,0.9427736401557922,0.945219874382019,0.9411420822143555
4,0.0001,451.0,0.14718142711349183,0.9572071479327315,0.9312569499015808,0.9559791088104248,0.9410289525985718,0.13782632895927285,0.9558228003436005,0.949284553527832,0.9514449834823608,0.9485112428665161
5,0.0001,403.9,0.12267037899859622,0.9643129720767429,0.9437605142593384,0.962329626083374,0.9518072009086609,0.09481566950494402,0.9693213891275003,0.9641062617301941,0.9693512916564941,0.9648961424827576
6,0.0001,405.4,0.11102550013883158,0.9689185988367502,0.9517284631729126,0.9681990146636963,0.9591349959373474,0.2519713697648559,0.9329979138544606,0.914828896522522,0.9294129610061646,0.9146654605865479
7,0.0001,404.7,0.14365492926823115,0.9564702476511303,0.9334407448768616,0.9582269191741943,0.94305819272995,0.1997418321712545,0.9371702049331206,0.9278345108032227,0.9395061731338501,0.9207884073257446
8,0.0001,403.7,0.08771007018436405,0.9726557359791562,0.9541292786598206,0.9733819961547852,0.9619737267494202,0.06736100624208911,0.9792612590501902,0.9739060401916504,0.9809741973876953,0.9769257307052612
9,0.0001,403.4,0.09627660895437055,0.9724715109087559,0.9555015563964844,0.9722221493721008,0.9629191160202026,0.11409477266894814,0.9693213891275003,0.9572774767875671,0.9661558270454407,0.9589215517044067
10,0.0001,400.7,0.07917017946156599,0.9778929915519646,0.9637045860290527,0.9776840209960938,0.9699969291687012,0.21617605721154579,0.9575408025524604,0.9563940167427063,0.9537053108215332,0.9514098167419434
11,0.0001,402.7,0.08804938465562062,0.9739453114719583,0.9577369689941406,0.9732668399810791,0.9643868207931519,0.07359091823281927,0.9745981101975703,0.9666730761528015,0.9735588431358337,0.9692498445510864
12,0.0001,401.6,0.08100571500035827,0.9757875621759613,0.9611730575561523,0.974421501159668,0.9673528075218201,0.04736531687904512,0.9860105534421402,0.9804586172103882,0.983980655670166,0.9818826913833618
13,0.0001,403.9,0.061486342972383506,0.9830512935231729,0.9730639457702637,0.9828101396560669,0.9776991605758667,0.0450062115797025,0.9847834090072402,0.9796893000602722,0.9848145246505737,0.981979250907898
14,0.0001,403.0,0.08103008126864004,0.9772876806063636,0.9612133502960205,0.9765918254852295,0.9680794477462769,0.5307888034501647,0.8826849920235612,0.879487156867981,0.8977959752082825,0.8726053833961487
15,0.0001,403.2,0.06356614809014761,0.9804984604047688,0.9717892408370972,0.9815038442611694,0.9764251112937927,0.041754404962506694,0.9880966989814701,0.987375020980835,0.9851678609848022,0.9860173463821411
16,0.0001,403.8,0.0669204810607747,0.9819459431007711,0.9711883068084717,0.980466365814209,0.9755576848983765,0.13207546473807907,0.9700576757884403,0.9688249826431274,0.9606068730354309,0.9630773067474365
17,0.0001,403.0,0.06622727924485856,0.980024738795168,0.9655717611312866,0.9807133078575134,0.9721916913986206,0.11662643099303208,0.9730028224322003,0.9728187918663025,0.9726387858390808,0.9716385006904602
18,0.0001,403.1,0.06165184459830547,0.9827617969839724,0.9757715463638306,0.982693076133728,0.9791213274002075,0.10421068631298555,0.9726346791017303,0.970069169998169,0.9647662043571472,0.9660639762878418
19,0.0001,402.8,0.05481271369694388,0.9847882727583757,0.9780359268188477,0.9842545390129089,0.981042206287384,0.07103360956962058,0.9820836912504601,0.9821516275405884,0.9827278852462769,0.9821299314498901
20,5e-05,403.7,0.018873186536959248,0.9947890622943917,0.9931715726852417,0.9946200847625732,0.993888258934021,0.01723183927996903,0.99361884893852,0.9923510551452637,0.9933841824531555,0.9927918910980225
