epoch,lr,seconds,train_loss,train_acc,train_macro_precision,train_macro_recall,train_macro_f1,val_loss,val_acc,val_macro_precision,val_macro_recall,val_macro_f1
1,0.0003,551.6,1.9498183668502134,0.736242334921178,0.6555511951446533,0.7293581366539001,0.6756793260574341,2.022186411189249,0.9174131795312308,0.8966869115829468,0.9075385332107544,0.8917211294174194
2,0.0003,474.3,1.497297727745119,0.8748848593309998,0.8203938007354736,0.8782526850700378,0.841002881526947,1.8989742913704326,0.9561909436740704,0.9449107646942139,0.9619624018669128,0.951239287853241
3,0.0003,573.1,1.4116081461127246,0.905045135142248,0.8598131537437439,0.9081109166145325,0.8781931400299072,1.8363663673634938,0.9698122469014603,0.9546775817871094,0.9720249176025391,0.9624147415161133
4,0.0003,595.7,1.3676307498365559,0.9177303471326683,0.8757871389389038,0.9188665151596069,0.8925054669380188,1.837546155268114,0.9640446680574304,0.9499790072441101,0.9709356427192688,0.957271933555603
5,0.0003,592.1,1.3410668940181076,0.9257309787614811,0.8863008618354797,0.9237859845161438,0.9013029932975769,1.8034918814849994,0.9723892502147503,0.9601625800132751,0.9728288650512695,0.9653564691543579
6,0.0003,576.8,1.3209544020891033,0.9290207121614864,0.89256751537323,0.929309606552124,0.9075025320053101,1.776150760877087,0.9792612590501902,0.9719668626785278,0.980593740940094,0.9758524894714355
7,0.0003,558.3,1.295550042762127,0.9369423901886991,0.9029671549797058,0.9368187189102173,0.9168307185173035,1.7741260275780488,0.9769296846238802,0.9701980352401733,0.9796267747879028,0.9741787314414978
8,0.0003,446.5,1.2785845095130504,0.9402321235887043,0.906559944152832,0.9403024315834045,0.9203484654426575,1.7580760985828643,0.9808565468155602,0.9732630252838135,0.9823665022850037,0.9766967296600342
9,0.0003,448.2,1.263690143960882,0.9442061215359108,0.914311408996582,0.9442075490951538,0.9270471334457397,1.7540930324514186,0.9806111179285802,0.9721008539199829,0.9831511974334717,0.9770949482917786
