epoch,lr,seconds,train_loss,train_acc,train_macro_precision,train_macro_recall,train_macro_f1,val_loss,val_acc,val_macro_precision,val_macro_recall,val_macro_f1
1,0.0001,201.4,0.33952244078413457,0.924336131799879,0.8864375948905945,0.9188124537467957,0.8987497687339783,0.11080558261404252,0.9664989569272303,0.9656223058700562,0.9590978622436523,0.960189700126648
2,0.0001,157.7,0.08548668460601769,0.9760770587151617,0.9608010053634644,0.974632203578949,0.9669731259346008,0.05715225147900437,0.9842925512332802,0.9748499989509583,0.9839469194412231,0.9785470366477966
3,0.0001,157.5,0.06085208547327939,0.9821038503039714,0.9746323823928833,0.9819964170455933,0.9781733751296997,0.05421043900113502,0.9815928334765002,0.9789007306098938,0.9793656468391418,0.9785048961639404
4,0.0001,157.5,0.056372295497626755,0.983761875937574,0.9732747077941895,0.9825277328491211,0.9776109457015991,0.06828851258414673,0.9766842557369002,0.9602907299995422,0.9714956283569336,0.9628679156303406
5,0.0001,157.5,0.05112598255676886,0.9861831197199779,0.9754438400268555,0.9848095178604126,0.9798240661621094,0.030666260225912925,0.9892011289728802,0.9857361316680908,0.9862496256828308,0.9856167435646057
6,0.0001,177.2,0.03925624997713754,0.988130641892781,0.9814275503158569,0.987891435623169,0.9845442771911621,0.05902146013408002,0.9795066879371702,0.9771900773048401,0.9742262363433838,0.9742568731307983
7,0.0001,228.9,0.041114363160973985,0.9885254099007816,0.9819628000259399,0.9874613285064697,0.9846116304397583,0.027618240560082954,0.9917781322861701,0.9872422218322754,0.9901865720748901,0.9883593320846558
8,0.0001,235.0,0.033675667366638094,0.9899465747295839,0.9845563173294067,0.9894089102745056,0.9869298934936523,0.04520975917201922,0.9852742667812001,0.9817149639129639,0.9855667352676392,0.9831579923629761
9,0.0001,223.6,0.035706973904605796,0.9894728531199831,0.9810547828674316,0.9885179996490479,0.9845531582832336,0.026057261053674695,0.9917781322861701,0.9872453808784485,0.988816499710083,0.9876894950866699
10,0.0001,223.4,0.026931970382844745,0.9917361896991868,0.9870132207870483,0.9914921522140503,0.9891964793205261,0.01901634366327006,0.9933734200515401,0.991935670375824,0.992904782295227,0.9923361539840698
11,0.0001,215.4,0.024046294771520257,0.9923151827775877,0.9876466393470764,0.9920506477355957,0.9897765517234802,0.053427436413809155,0.9844152656767702,0.9781204462051392,0.9824724793434143,0.9793131351470947
12,0.0001,156.2,0.029580684148369698,0.9907887464799853,0.9831513166427612,0.9899821281433105,0.9863986968994141,0.04236664510900724,0.9863786967726101,0.9842486381530762,0.9842928051948547,0.9839682579040527
13,0.0001,156.7,0.0250761981300411,0.9927889043871885,0.989089846611023,0.9926342964172363,0.990833580493927,0.017257567598433794,0.9933734200515401,0.9914982318878174,0.9911564588546753,0.9912761449813843
14,0.0001,158.0,0.026747458820198487,0.9921309577071874,0.9868630170822144,0.9913899302482605,0.9890744686126709,0.0320715028796084,0.99067370229476,0.9862582087516785,0.9906197786331177,0.9882404804229736
15,5e-05,156.9,0.01311704766456827,0.996262862857594,0.9940125942230225,0.9962359666824341,0.9951059222221375,0.009344701239622777,0.9975457111302001,0.9959284067153931,0.997067391872406,0.9964624643325806
16,5e-05,158.5,0.008161659807987677,0.9977629812879965,0.9966392517089844,0.997566819190979,0.9970945119857788,0.012641206839772897,0.99570499447785,0.9935793280601501,0.9947972893714905,0.9940991401672363
17,5e-05,156.7,0.009085454688160572,0.9971839882095955,0.9941188097000122,0.997052788734436,0.9955352544784546,0.009529118203789466,0.99668671002577,0.9958937764167786,0.9937040209770203,0.9946776628494263
18,5e-05,157.2,0.009503876160147877,0.9972103060767955,0.9959437847137451,0.9971314072608948,0.9965313076972961,0.01834005245146983,0.9944778500429501,0.9915294647216797,0.9928957223892212,0.9918412566184998
19,5e-05,156.6,0.006696344277850759,0.9981840671631971,0.9974197745323181,0.9978646636009216,0.9976401329040527,0.010070582001832019,0.99668671002577,0.9946693181991577,0.9960473775863647,0.9952448606491089
20,2.5e-05,156.9,0.003979694029899881,0.9990525567807985,0.9985916614532471,0.9990901947021484,0.9988397359848022,0.0071897438049420125,0.99705485335624,0.9962746500968933,0.996889591217041,0.9965560436248779
