epoch,lr,seconds,train_loss,train_acc,train_macro_precision,train_macro_recall,train_macro_f1,val_loss,val_acc,val_macro_precision,val_macro_recall,val_macro_f1
1,0.0001,184.0,0.5342197868447808,0.8495407532173592,0.790676474571228,0.8364565968513489,0.807431697845459,0.24434465433971825,0.9206037550619708,0.9121309518814087,0.8940829038619995,0.891112208366394
2,0.0001,149.1,0.2064478116699541,0.9353896360238966,0.9025169014930725,0.9344576597213745,0.9151712656021118,0.19447419141636849,0.9374156338201006,0.9265247583389282,0.9277480840682983,0.921277642250061
3,0.0001,148.3,0.17317358177970668,0.944995657551912,0.915488600730896,0.9434119462966919,0.9261209964752197,0.17687077553127964,0.9463737881948705,0.9451732635498047,0.9367489814758301,0.9369560480117798
4,0.0001,148.6,0.14749986236311496,0.954417454009527,0.9266219139099121,0.9532058238983154,0.9373164176940918,0.1491648833156423,0.9532457970303104,0.9470584392547607,0.9517257809638977,0.94678795337677
5,0.0001,162.9,0.13130719490104814,0.9588388556991342,0.9335875511169434,0.9566019773483276,0.9428396821022034,0.13165346082374127,0.9574180881089704,0.9461166262626648,0.9538717269897461,0.9471807479858398
6,0.0001,214.6,0.12315770146684618,0.9621285890991395,0.9402976036071777,0.9604842066764832,0.9482072591781616,0.09815558900083278,0.9691986746840103,0.9614168405532837,0.9646514654159546,0.961693525314331
7,0.0001,200.3,0.11735176439571735,0.9649446008895439,0.9444203972816467,0.9641832709312439,0.9531048536300659,0.11500636393080424,0.9636765247269604,0.9505769610404968,0.9577560424804688,0.9517807364463806
8,0.0001,221.3,0.10992709159591925,0.9669973945311472,0.9451925754547119,0.9666405916213989,0.9540808796882629,0.07131752523586898,0.9754571113020002,0.9714983701705933,0.9701352715492249,0.9703725576400757
9,0.0001,220.8,0.10495523150367882,0.9671026659999473,0.9456861615180969,0.9671566486358643,0.9540829658508301,0.11759937561412334,0.9656399558228004,0.9638220071792603,0.9624978303909302,0.9614089131355286
10,0.0001,220.4,0.09748350873828346,0.9716030212911546,0.9558510780334473,0.9707303047180176,0.9624968767166138,0.10061902564143914,0.9666216713707203,0.9501180648803711,0.9662729501724243,0.9551619291305542
11,0.0001,220.9,0.10133754313366371,0.969971313524752,0.9501784443855286,0.9704446792602539,0.9584364891052246,0.1384642490366285,0.9571726592219905,0.9546349048614502,0.9476776123046875,0.9490141868591309
12,0.0001,221.5,0.07387345442905266,0.9768402768639629,0.9627942442893982,0.9771701693534851,0.9691222310066223,0.14718666019103196,0.9606086636397104,0.9584455490112305,0.9597710967063904,0.9558618068695068
13,5e-05,221.7,0.042829615503225435,0.9862883911887781,0.9792294502258301,0.986770749092102,0.982873797416687,0.06348087457482876,0.9814701190330102,0.9806035161018372,0.975919246673584,0.9774154424667358
14,5e-05,222.3,0.03556506322554611,0.9879990525567808,0.9818328619003296,0.9886289834976196,0.9850561618804932,0.060525801496844396,0.9817155479199902,0.9769937992095947,0.9795541763305664,0.9777883291244507
15,5e-05,221.1,0.03411575076299037,0.9892886280495828,0.9845373630523682,0.9889830350875854,0.9867117404937744,0.07842398828415653,0.9765615412934102,0.9743642807006836,0.9721134901046753,0.9719762206077576
16,5e-05,183.2,0.03659013488470433,0.9892096744479827,0.9828617572784424,0.9891881346702576,0.9859204292297363,0.042535764321363204,0.9858878389986502,0.983108639717102,0.9851442575454712,0.9836636185646057
17,5e-05,150.8,0.03453922749280288,0.9888675421743822,0.9819090366363525,0.9883739948272705,0.9849893450737,0.06176677455000388,0.9807338323720702,0.9711635112762451,0.9821045398712158,0.9757310152053833
18,5e-05,148.9,0.03212480585190929,0.9892096744479827,0.9820612072944641,0.9891862869262695,0.9854950904846191,0.09193264673046643,0.9769296846238802,0.9738833904266357,0.9757179021835327,0.9741595983505249
19,5e-05,148.9,0.03072952803504133,0.9907624286127852,0.9858496785163879,0.9906351566314697,0.9881592988967896,0.04445173438599838,0.9873604123205302,0.9825762510299683,0.9870867729187012,0.9844382405281067
20,5e-05,149.9,0.03227995171387514,0.9901571176671843,0.9846450090408325,0.9902821779251099,0.9873684048652649,0.08878007295372248,0.9745981101975703,0.972822904586792,0.9709075689315796,0.9709796905517578
